"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"34013","1","4881","76","0","2015","A","","Essex County, New Jersey","Federal Government","Support activities for air transportation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,101,13938134,0,0,2658,138229,"",5.38,3.84,3.27,0.00,0.00,0.85,0.85,"",0,0.0,1,1.0,196005,1.4,0,0.0,0,0.0,20,0.8,1036,0.8
"34013","1","48811","77","0","2015","A","","Essex County, New Jersey","Federal Government","Airport operations","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,101,13938134,0,0,2658,138229,"",5.38,3.84,3.27,0.00,0.00,0.85,0.85,"",0,0.0,1,1.0,196005,1.4,0,0.0,0,0.0,20,0.8,1036,0.8
"34013","1","488111","78","0","2015","A","","Essex County, New Jersey","Federal Government","Air traffic control","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,101,13938134,0,0,2658,138229,"",5.41,3.85,3.27,0.00,0.00,0.85,0.85,"",0,0.0,1,1.0,196005,1.4,0,0.0,0,0.0,20,0.8,1036,0.8
"34013","1","491","75","0","2015","A","","Essex County, New Jersey","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",24,1476,94607800,0,0,1232,64079,"",0.40,1.03,0.87,0.00,0.00,0.84,0.84,"",0,0.0,55,3.9,3462222,3.8,0,0.0,0,0.0,-2,-0.2,-74,-0.1
"34013","1","4911","76","0","2015","A","","Essex County, New Jersey","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",24,1476,94607800,0,0,1232,64079,"",0.40,1.03,0.87,0.00,0.00,0.84,0.84,"",0,0.0,55,3.9,3462222,3.8,0,0.0,0,0.0,-2,-0.2,-74,-0.1
"34013","1","49111","77","0","2015","A","","Essex County, New Jersey","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",24,1476,94607800,0,0,1232,64079,"",0.40,1.03,0.87,0.00,0.00,0.84,0.84,"",0,0.0,55,3.9,3462222,3.8,0,0.0,0,0.0,-2,-0.2,-74,-0.1
"34013","1","491110","78","0","2015","A","","Essex County, New Jersey","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",24,1476,94607800,0,0,1232,64079,"",0.40,1.03,0.87,0.00,0.00,0.84,0.84,"",0,0.0,55,3.9,3462222,3.8,0,0.0,0,0.0,-2,-0.2,-74,-0.1
"34013","1","54","74","0","2015","A","","Essex County, New Jersey","Federal Government","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,1,74226,0,0,1427,74226,"",0.36,0.01,0.00,0.00,0.00,0.70,0.70,"",0,0.0,0,0.0,3956,5.6,0,0.0,0,0.0,76,5.6,3956,5.6
"34013","1","541","75","0","2015","A","","Essex County, New Jersey","Federal Government","Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,74226,0,0,1427,74226,"",0.36,0.01,0.00,0.00,0.00,0.70,0.70,"",0,0.0,0,0.0,3956,5.6,0,0.0,0,0.0,76,5.6,3956,5.6
"34013","1","5419","76","0","2015","A","","Essex County, New Jersey","Federal Government","Other professional and technical services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,74226,0,0,1427,74226,"",2.67,0.08,0.05,0.00,0.00,0.64,0.65,"",0,0.0,0,0.0,3956,5.6,0,0.0,0,0.0,76,5.6,3956,5.6
"34013","1","54199","77","0","2015","A","","Essex County, New Jersey","Federal Government","All other professional and technical services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,74226,0,0,1427,74226,"",2.72,0.09,0.06,0.00,0.00,0.60,0.60,"",0,0.0,0,0.0,3956,5.6,0,0.0,0,0.0,76,5.6,3956,5.6
"34013","1","541990","78","0","2015","A","","Essex County, New Jersey","Federal Government","All other professional and technical services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,74226,0,0,1427,74226,"",2.72,0.09,0.06,0.00,0.00,0.60,0.60,"",0,0.0,0,0.0,3956,5.6,0,0.0,0,0.0,76,5.6,3956,5.6
"34013","1","62","74","0","2015","A","","Essex County, New Jersey","Federal Government","Health care and social assistance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,1755,152619444,0,0,1673,86971,"",0.41,1.93,1.84,0.00,0.00,0.96,0.96,"",0,0.0,-59,-3.3,110981,0.1,0,0.0,0,0.0,56,3.5,2879,3.4
"34013","1","622","75","0","2015","A","","Essex County, New Jersey","Federal Government","Hospitals","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1755,152619444,0,0,1673,86971,"",1.30,2.22,2.08,0.00,0.00,0.93,0.93,"",0,0.0,-59,-3.3,110981,0.1,0,0.0,0,0.0,56,3.5,2879,3.4
"34013","1","6221","76","0","2015","A","","Essex County, New Jersey","Federal Government","General medical and surgical hospitals","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1755,152619444,0,0,1673,86971,"",1.33,2.27,2.12,0.00,0.00,0.93,0.93,"",0,0.0,-59,-3.3,110981,0.1,0,0.0,0,0.0,56,3.5,2879,3.4
"34013","1","62211","77","0","2015","A","","Essex County, New Jersey","Federal Government","General medical and surgical hospitals","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1755,152619444,0,0,1673,86971,"",1.33,2.27,2.12,0.00,0.00,0.93,0.93,"",0,0.0,-59,-3.3,110981,0.1,0,0.0,0,0.0,56,3.5,2879,3.4
"34013","1","622110","78","0","2015","A","","Essex County, New Jersey","Federal Government","General medical and surgical hospitals","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1755,152619444,0,0,1673,86971,"",1.33,2.27,2.12,0.00,0.00,0.93,0.93,"",0,0.0,-59,-3.3,110981,0.1,0,0.0,0,0.0,56,3.5,2879,3.4
"34013","1","71","74","0","2015","A","","Essex County, New Jersey","Federal Government","Arts, entertainment, and recreation","County, NAICS Sector -- by ownership sector","All establishment sizes",1,27,1723876,0,0,1224,63651,"",0.41,0.28,0.29,0.00,0.00,1.05,1.05,"",0,0.0,-2,-6.9,-98011,-5.4,0,0.0,0,0.0,19,1.6,1007,1.6
"34013","1","712","75","0","2015","A","","Essex County, New Jersey","Federal Government","Museums, historical sites, zoos, and parks","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,27,1723876,0,0,1224,63651,"",0.83,0.48,0.39,0.00,0.00,0.80,0.80,"",0,0.0,-2,-6.9,-98011,-5.4,0,0.0,0,0.0,19,1.6,1007,1.6
"34013","1","7121","76","0","2015","A","","Essex County, New Jersey","Federal Government","Museums, historical sites, zoos, and parks","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,27,1723876,0,0,1224,63651,"",0.83,0.48,0.39,0.00,0.00,0.80,0.80,"",0,0.0,-2,-6.9,-98011,-5.4,0,0.0,0,0.0,19,1.6,1007,1.6
"34013","1","71219","77","0","2015","A","","Essex County, New Jersey","Federal Government","Nature parks and other similar institutions","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,27,1723876,0,0,1224,63651,"",0.93,0.68,0.60,0.00,0.00,0.88,0.88,"",0,0.0,-2,-6.9,-98011,-5.4,0,0.0,0,0.0,19,1.6,1007,1.6
"34013","1","712190","78","0","2015","A","","Essex County, New Jersey","Federal Government","Nature parks and other similar institutions","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,27,1723876,0,0,1224,63651,"",0.93,0.68,0.60,0.00,0.00,0.88,0.88,"",0,0.0,-2,-6.9,-98011,-5.4,0,0.0,0,0.0,19,1.6,1007,1.6
"34013","1","92","74","0","2015","A","","Essex County, New Jersey","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",37,5383,496290501,0,0,1773,92190,"",0.71,1.50,1.30,0.00,0.00,0.87,0.87,"",-1,-2.6,-55,-1.0,21277824,4.5,0,0.0,0,0.0,93,5.5,4839,5.5
"34013","1","921","75","0","2015","A","","Essex County, New Jersey","Federal Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,136,14404188,0,0,2034,105784,"",0.95,0.37,0.40,0.00,0.00,1.07,1.07,"",-1,-20.0,-65,-32.3,-5325626,-27.0,0,0.0,0,0.0,143,7.6,7463,7.6
"34013","1","9211","76","0","2015","A","","Essex County, New Jersey","Federal Government","Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,136,14404188,0,0,2034,105784,"",0.95,0.37,0.40,0.00,0.00,1.07,1.07,"",-1,-20.0,-65,-32.3,-5325626,-27.0,0,0.0,0,0.0,143,7.6,7463,7.6
"34013","1","92113","77","0","2015","A","","Essex County, New Jersey","Federal Government","Public finance activities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,88,9299871,0,0,2023,105182,"",0.86,0.38,0.40,0.00,0.00,1.05,1.05,"",-1,-50.0,-68,-43.6,-5625822,-37.7,0,0.0,0,0.0,179,9.7,9300,9.7
"34013","1","921130","78","0","2015","A","","Essex County, New Jersey","Federal Government","Public finance activities","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,88,9299871,0,0,2023,105182,"",0.86,0.38,0.40,0.00,0.00,1.05,1.05,"",-1,-50.0,-68,-43.6,-5625822,-37.7,0,0.0,0,0.0,179,9.7,9300,9.7
"34013","1","92119","77","0","2015","A","","Essex County, New Jersey","Federal Government","Other general government support","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,48,5104317,0,0,2056,106897,"",1.00,0.55,0.58,0.00,0.00,1.07,1.07,"",0,0.0,3,6.7,300196,6.2,0,0.0,0,0.0,3,0.1,139,0.1
"34013","1","921190","78","0","2015","A","","Essex County, New Jersey","Federal Government","Other general government support","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,48,5104317,0,0,2056,106897,"",1.00,0.55,0.58,0.00,0.00,1.07,1.07,"",0,0.0,3,6.7,300196,6.2,0,0.0,0,0.0,3,0.1,139,0.1
"34013","1","922","75","0","2015","A","","Essex County, New Jersey","Federal Government","Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,2819,304773267,0,0,2079,108117,"",1.34,4.70,4.19,0.00,0.00,0.89,0.89,"",0,0.0,40,1.4,17228473,6.0,0,0.0,0,0.0,89,4.5,4650,4.5
"34013","1","9221","76","0","2015","A","","Essex County, New Jersey","Federal Government","Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",10,2819,304773267,0,0,2079,108117,"",1.34,4.70,4.19,0.00,0.00,0.89,0.89,"",0,0.0,40,1.4,17228473,6.0,0,0.0,0,0.0,89,4.5,4650,4.5
"34013","1","92211","77","0","2015","A","","Essex County, New Jersey","Federal Government","Courts","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,319,33261910,0,0,2004,104188,"",1.57,4.00,3.61,0.00,0.00,0.90,0.90,"",0,0.0,-3,-0.9,212154,0.6,0,0.0,0,0.0,30,1.5,1522,1.5
"34013","1","922110","78","0","2015","A","","Essex County, New Jersey","Federal Government","Courts","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,319,33261910,0,0,2004,104188,"",1.57,4.00,3.61,0.00,0.00,0.90,0.90,"",0,0.0,-3,-0.9,212154,0.6,0,0.0,0,0.0,30,1.5,1522,1.5
"34013","1","92212","77","0","2015","A","","Essex County, New Jersey","Federal Government","Police protection","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,2245,242720133,0,0,2079,108128,"",1.56,6.88,5.68,0.00,0.00,0.83,0.83,"",0,0.0,45,2.0,15428573,6.8,0,0.0,0,0.0,92,4.6,4825,4.7
"34013","1","922120","78","0","2015","A","","Essex County, New Jersey","Federal Government","Police protection","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,2245,242720133,0,0,2079,108128,"",1.56,6.88,5.68,0.00,0.00,0.83,0.83,"",0,0.0,45,2.0,15428573,6.8,0,0.0,0,0.0,92,4.6,4825,4.7
"34013","1","92213","77","0","2015","A","","Essex County, New Jersey","Federal Government","Legal counsel and prosecution","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,240,27004252,0,0,2166,112635,"",1.48,4.85,4.01,0.00,0.00,0.83,0.83,"",0,0.0,-3,-1.2,1147187,4.4,0,0.0,0,0.0,121,5.9,6300,5.9
"34013","1","922130","78","0","2015","A","","Essex County, New Jersey","Federal Government","Legal counsel and prosecution","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,240,27004252,0,0,2166,112635,"",1.48,4.85,4.01,0.00,0.00,0.83,0.83,"",0,0.0,-3,-1.2,1147187,4.4,0,0.0,0,0.0,121,5.9,6300,5.9
"34013","1","92219","77","0","2015","A","","Essex County, New Jersey","Federal Government","Other justice and safety activities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,15,1786972,0,0,2266,117822,"",0.72,0.30,0.30,0.00,0.00,1.01,1.02,"",0,0.0,1,7.1,440559,32.7,0,0.0,0,0.0,383,20.3,19901,20.3
"34013","1","922190","78","0","2015","A","","Essex County, New Jersey","Federal Government","Other justice and safety activities","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,15,1786972,0,0,2266,117822,"",0.72,0.30,0.30,0.00,0.00,1.01,1.02,"",0,0.0,1,7.1,440559,32.7,0,0.0,0,0.0,383,20.3,19901,20.3
"34013","1","923","75","0","2015","A","","Essex County, New Jersey","Federal Government","Administration of human resource programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,279,23681414,0,0,1634,84956,"",1.09,0.64,0.51,0.00,0.00,0.80,0.80,"",0,0.0,14,5.3,914998,4.0,0,0.0,0,0.0,-20,-1.2,-1063,-1.2
"34013","1","9231","76","0","2015","A","","Essex County, New Jersey","Federal Government","Administration of human resource programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,279,23681414,0,0,1634,84956,"",1.09,0.64,0.51,0.00,0.00,0.80,0.80,"",0,0.0,14,5.3,914998,4.0,0,0.0,0,0.0,-20,-1.2,-1063,-1.2
"34013","1","92312","77","0","2015","A","","Essex County, New Jersey","Federal Government","Administration of public health programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,3,161600,0,0,1243,64640,"",0.81,0.02,0.01,0.00,0.00,0.53,0.53,"",0,0.0,2,200.0,66082,69.2,0,0.0,0,0.0,-227,-15.4,-11774,-15.4
"34013","1","923120","78","0","2015","A","","Essex County, New Jersey","Federal Government","Administration of public health programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,3,161600,0,0,1243,64640,"",0.81,0.02,0.01,0.00,0.00,0.53,0.53,"",0,0.0,2,200.0,66082,69.2,0,0.0,0,0.0,-227,-15.4,-11774,-15.4
"34013","1","92313","77","0","2015","A","","Essex County, New Jersey","Federal Government","Other human resource programs administration","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,163,13967088,0,0,1647,85644,"",0.93,0.93,0.81,0.00,0.00,0.88,0.88,"",0,0.0,6,3.8,406024,3.0,0,0.0,0,0.0,-16,-1.0,-824,-1.0
"34013","1","923130","78","0","2015","A","","Essex County, New Jersey","Federal Government","Other human resource programs administration","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,163,13967088,0,0,1647,85644,"",0.93,0.93,0.81,0.00,0.00,0.88,0.88,"",0,0.0,6,3.8,406024,3.0,0,0.0,0,0.0,-16,-1.0,-824,-1.0
"34013","1","92314","77","0","2015","A","","Essex County, New Jersey","Federal Government","Administration of veterans' affairs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,113,9552726,0,0,1623,84413,"",2.48,1.03,0.88,0.00,0.00,0.86,0.86,"",0,0.0,6,5.6,442892,4.9,0,0.0,0,0.0,-21,-1.3,-1058,-1.2
"34013","1","923140","78","0","2015","A","","Essex County, New Jersey","Federal Government","Administration of veterans' affairs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,113,9552726,0,0,1623,84413,"",2.48,1.03,0.88,0.00,0.00,0.86,0.86,"",0,0.0,6,5.6,442892,4.9,0,0.0,0,0.0,-21,-1.3,-1058,-1.2
"34013","1","925","75","0","2015","A","","Essex County, New Jersey","Federal Government","Community and housing program administration","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,101,11898909,0,0,2262,117617,"",3.36,4.38,3.91,0.00,0.00,0.89,0.89,"",0,0.0,-4,-3.8,742417,6.7,0,0.0,0,0.0,212,10.3,11026,10.3
"34013","1","9251","76","0","2015","A","","Essex County, New Jersey","Federal Government","Community and housing program administration","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,101,11898909,0,0,2262,117617,"",3.36,4.38,3.91,0.00,0.00,0.89,0.89,"",0,0.0,-4,-3.8,742417,6.7,0,0.0,0,0.0,212,10.3,11026,10.3
"34013","1","92511","77","0","2015","A","","Essex County, New Jersey","Federal Government","Administration of housing programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,101,11898909,0,0,2262,117617,"",5.01,4.97,4.32,0.00,0.00,0.87,0.87,"",0,0.0,-4,-3.8,742417,6.7,0,0.0,0,0.0,212,10.3,11026,10.3
"34013","1","925110","78","0","2015","A","","Essex County, New Jersey","Federal Government","Administration of housing programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,101,11898909,0,0,2262,117617,"",5.01,4.97,4.32,0.00,0.00,0.87,0.87,"",0,0.0,-4,-3.8,742417,6.7,0,0.0,0,0.0,212,10.3,11026,10.3
"34013","1","926","75","0","2015","A","","Essex County, New Jersey","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",11,1752,116061127,0,0,1274,66242,"",0.63,3.08,1.89,0.00,0.00,0.61,0.61,"",0,0.0,-57,-3.2,4843515,4.4,0,0.0,0,0.0,92,7.8,4776,7.8
"34013","1","9261","76","0","2015","A","","Essex County, New Jersey","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",11,1752,116061127,0,0,1274,66242,"",0.63,3.08,1.89,0.00,0.00,0.61,0.61,"",0,0.0,-57,-3.2,4843515,4.4,0,0.0,0,0.0,92,7.8,4776,7.8
"34013","1","92611","77","0","2015","A","","Essex County, New Jersey","Federal Government","Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,38,2008111,0,0,1021,53078,"",0.40,0.38,0.19,0.00,0.00,0.49,0.49,"",0,0.0,2,5.6,57265,2.9,0,0.0,0,0.0,-19,-1.8,-987,-1.8
"34013","1","926110","78","0","2015","A","","Essex County, New Jersey","Federal Government","Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,38,2008111,0,0,1021,53078,"",0.40,0.38,0.19,0.00,0.00,0.49,0.49,"",0,0.0,2,5.6,57265,2.9,0,0.0,0,0.0,-19,-1.8,-987,-1.8
"34013","1","92612","77","0","2015","A","","Essex County, New Jersey","Federal Government","Transportation program administration","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,1613,102667876,0,0,1224,63644,"",0.66,6.34,3.99,0.00,0.00,0.63,0.63,"",0,0.0,-60,-3.6,4371010,4.4,0,0.0,0,0.0,94,8.3,4872,8.3
"34013","1","926120","78","0","2015","A","","Essex County, New Jersey","Federal Government","Transportation program administration","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,1613,102667876,0,0,1224,63644,"",0.66,6.34,3.99,0.00,0.00,0.63,0.63,"",0,0.0,-60,-3.6,4371010,4.4,0,0.0,0,0.0,94,8.3,4872,8.3
"34013","1","92614","77","0","2015","A","","Essex County, New Jersey","Federal Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,22,2008466,0,0,1790,93056,"",0.14,0.20,0.20,0.00,0.00,1.02,1.02,"",0,0.0,0,0.0,82255,4.3,0,0.0,0,0.0,106,6.3,5501,6.3
"34013","1","926140","78","0","2015","A","","Essex County, New Jersey","Federal Government","Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,22,2008466,0,0,1790,93056,"",0.14,0.20,0.20,0.00,0.00,1.02,1.02,"",0,0.0,0,0.0,82255,4.3,0,0.0,0,0.0,106,6.3,5501,6.3
"34013","1","92615","77","0","2015","A","","Essex County, New Jersey","Federal Government","Licensing and regulating commercial sectors","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,80,9376674,0,0,2268,117946,"",3.28,1.01,0.84,0.00,0.00,0.83,0.83,"",0,0.0,1,1.3,332985,3.7,0,0.0,0,0.0,62,2.8,3227,2.8
"34013","1","926150","78","0","2015","A","","Essex County, New Jersey","Federal Government","Licensing and regulating commercial sectors","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,80,9376674,0,0,2268,117946,"",3.28,1.01,0.84,0.00,0.00,0.83,0.83,"",0,0.0,1,1.3,332985,3.7,0,0.0,0,0.0,62,2.8,3227,2.8
"34013","1","928","75","0","2015","A","","Essex County, New Jersey","Federal Government","National security and international affairs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,296,25471596,0,0,1653,85980,"",0.99,0.22,0.19,0.00,0.00,0.86,0.86,"",1,25.0,16,5.7,2874047,12.7,0,0.0,0,0.0,98,6.3,5130,6.3
"34013","1","9281","76","0","2015","A","","Essex County, New Jersey","Federal Government","National security and international affairs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,296,25471596,0,0,1653,85980,"",0.99,0.22,0.19,0.00,0.00,0.86,0.86,"",1,25.0,16,5.7,2874047,12.7,0,0.0,0,0.0,98,6.3,5130,6.3
"34013","1","92811","77","0","2015","A","","Essex County, New Jersey","Federal Government","National security","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,33,2025195,0,0,1192,61996,"",0.45,0.03,0.02,0.00,0.00,0.63,0.63,"",0,0.0,4,13.8,147674,7.9,0,0.0,0,0.0,-49,-3.9,-2561,-4.0
"34013","1","928110","78","0","2015","A","","Essex County, New Jersey","Federal Government","National security","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,33,2025195,0,0,1192,61996,"",0.45,0.03,0.02,0.00,0.00,0.63,0.63,"",0,0.0,4,13.8,147674,7.9,0,0.0,0,0.0,-49,-3.9,-2561,-4.0
"34013","1","92812","77","0","2015","A","","Essex County, New Jersey","Federal Government","International affairs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,264,23446401,0,0,1711,88953,"",4.69,3.61,2.70,0.00,0.00,0.75,0.75,"",1,50.0,14,5.6,2726373,13.2,0,0.0,0,0.0,120,7.5,6211,7.5
"34013","1","928120","78","0","2015","A","","Essex County, New Jersey","Federal Government","International affairs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,264,23446401,0,0,1711,88953,"",4.69,3.61,2.70,0.00,0.00,0.75,0.75,"",1,50.0,14,5.6,2726373,13.2,0,0.0,0,0.0,120,7.5,6211,7.5
